model,accuracy,precision,recall,f1_score
Random Forest,0.9988623435722411,0.9988665964934664,0.9988623435722411,0.9988629440646827
Decision Tree,0.997155858930603,0.9971581251368601,0.997155858930603,0.9971566110312745
Logistic Regression,0.9960182025028441,0.9960698183963258,0.9960182025028441,0.9960254860777648
