,importance
duration_value,0.5395807158237556
director_known,0.3232114346268968
primary_genre_enc,0.09974192375352471
rating_enc,0.023087034564625308
primary_country_enc,0.008482736155216608
release_year,0.004710848293996681
year_added,0.0011853067819842778
